,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Description,Validation,1,0.8959196484620213,0.488268156424581,0.5132119788608338,0.5408415841584159,437,371,458,6699
0,Logistic Regression,Description,Validation,2,0.9075957313245449,0.49533799533799533,0.5359394703656999,0.5837912087912088,425,303,433,6804
0,Logistic Regression,Description,Validation,3,0.898932831136221,0.47689075630252103,0.5300642148277875,0.5965834428383706,454,307,498,6706
0,Logistic Regression,Description,Validation,4,0.8931575643440051,0.4530095036958817,0.5020479812755998,0.562992125984252,429,333,518,6685
0,Logistic Regression,Description,Validation,5,0.8973006905210295,0.4538860103626943,0.5171192443919717,0.6008230452674898,438,291,527,6709
0,Logistic Regression,Description,Validation,6,0.89278091650973,0.43952802359882004,0.511441647597254,0.6114911080711354,447,284,570,6664
0,Logistic Regression,Description,Validation,7,0.89278091650973,0.44398340248962653,0.5005847953216374,0.5737265415549598,428,318,536,6683
0,Logistic Regression,Description,Validation,8,0.9019460138104206,0.4540094339622642,0.49645390070921985,0.5476529160739687,385,318,463,6799
0,Logistic Regression,Description,Validation,9,0.9036916122551482,0.4542294322132097,0.5054803352675693,0.5697674418604651,392,296,471,6805
0,Logistic Regression,Description,Validation,10,0.9011803114013058,0.48823529411764705,0.5132962275819418,0.5410691003911343,415,352,435,6762
0,Logistic Regression,Description,Test,0,0.8941395068548185,0.4658547194432362,0.504,0.5489492567913891,1071,880,1228,16734
