,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9178907721280603,0.5522703273495249,0.6152941176470589,0.6945551128818062,523,230,424,6788
0,Logistic Regression,Title,Validation,2,0.909353421217828,0.510934393638171,0.5874285714285714,0.6908602150537635,514,230,492,6729
0,Logistic Regression,Title,Validation,3,0.912241054613936,0.5374015748031497,0.609715242881072,0.704516129032258,546,229,470,6720
0,Logistic Regression,Title,Validation,4,0.911864406779661,0.5377821393523062,0.6095661846496108,0.7034659820282413,548,231,471,6715
0,Logistic Regression,Title,Validation,5,0.9079723791588198,0.5213178294573644,0.5948037589828634,0.6924066924066924,538,239,494,6694
0,Logistic Regression,Title,Validation,6,0.9088512241054614,0.5030120481927711,0.5798611111111112,0.6844262295081968,501,231,495,6738
0,Logistic Regression,Title,Validation,7,0.9082234777150031,0.5146198830409356,0.5909345271404588,0.6938239159001314,528,233,498,6706
0,Logistic Regression,Title,Validation,8,0.9131198995605775,0.5370558375634518,0.6045714285714285,0.6915032679738562,529,236,456,6744
0,Logistic Regression,Title,Validation,9,0.9138623807132095,0.5309017223910841,0.6043829296424452,0.7014725568942436,524,223,463,6754
0,Logistic Regression,Title,Validation,10,0.9117277749874435,0.5058078141499472,0.5767609873570139,0.6708683473389355,479,235,468,6782
0,Logistic Regression,Title,Test,0,0.9127203334505097,0.5187053383774696,0.5867807893485497,0.675424192665572,1234,593,1145,16941
